Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
practice_Automate/playWithVariables,Failure,14,2,2023-12-11 15:14:18 +0530,2023-12-12 12:18:46 +0530,0:00:00
dummy_WebsiteAutomate/dummy_dashboardPage,Success,2,0,2023-12-11 16:50:03 +0530,2023-12-11 16:50:37 +0530,0:00:00
practice_Automate/handlersScript,Success,10,0,2023-12-07 17:22:27 +0530,2023-12-07 18:31:05 +0530,0:00:00
practice_Automate/current_date,Success,1,0,2023-12-13 16:53:12 +0530,2023-12-13 16:53:12 +0530,0:00:00
dummy_WebsiteAutomate/dummy_signUpPage,Success,14,7,2023-12-11 19:24:54 +0530,2023-12-11 22:35:53 +0530,0:00:12
dummy_WebsiteAutomate/dummy_loginPage,Failure,46,33,2023-12-08 18:54:23 +0530,2023-12-12 11:01:41 +0530,0:00:22
dummy_WebsiteMainScript,Failure,17,17,2023-12-12 19:30:07 +0530,2023-12-14 22:29:49 +0530,0:00:00
dummy_WebsiteAutomate/dummy_basicUI,Success,35,11,2023-12-07 14:23:51 +0530,2023-12-08 23:52:46 +0530,0:00:08
flipkart_Automate/flipkart_LoginPage,Success,8,3,2023-12-13 11:55:59 +0530,2023-12-14 22:39:58 +0530,0:00:17
sdet_Automate/loopsPractice,Success,11,9,2023-12-13 13:37:21 +0530,2023-12-13 17:41:15 +0530,0:00:10
practice_Automate/rufPractice,Failure,2,2,2023-12-12 11:05:45 +0530,2023-12-12 11:07:25 +0530,0:00:00
