Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-12-07 14:23:51.397 +0530,"Success",0:00:00,0,0,0,"20231207_142351.397/LogFile.txt","","",1
2023-12-07 14:31:04.777 +0530,"Failure",0:00:00,1,0,1,"20231207_143104.777/LogFile.txt","","File Not Found -- doubleclick Error - Could Not Open Image: launchBrowser.png",0
2023-12-07 14:31:46.294 +0530,"Success",0:00:01,0,0,0,"20231207_143146.294/LogFile.txt","","",1
2023-12-07 14:31:54.321 +0530,"Aborted",0:00:34,1,0,0,"20231207_143154.321/LogFile.txt","","",0
2023-12-07 14:32:32.476 +0530,"Success",0:00:01,0,0,0,"20231207_143232.476/LogFile.txt","","",1
2023-12-07 14:32:46.928 +0530,"Aborted",0:00:20,1,0,0,"20231207_143246.928/LogFile.txt","","",0
2023-12-07 14:33:46.041 +0530,"Failure",0:00:23,1,0,1,"20231207_143346.041/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""basic-UI/launchBrowser""",0
2023-12-07 14:37:03.096 +0530,"Success",0:00:01,0,0,0,"20231207_143703.096/LogFile.txt","","",1
2023-12-07 14:42:44.268 +0530,"Success",0:00:03,0,0,0,"20231207_144244.268/LogFile.txt","","",1
2023-12-07 14:48:13.475 +0530,"Success",0:00:04,0,0,0,"20231207_144813.475/LogFile.txt","","",1
2023-12-07 14:50:15.635 +0530,"Success",0:00:04,0,0,0,"20231207_145015.635/LogFile.txt","","",1
2023-12-07 14:58:01.965 +0530,"Success",0:00:09,0,0,0,"20231207_145801.965/LogFile.txt","","",1
2023-12-07 14:58:39.416 +0530,"Success",0:00:09,0,0,0,"20231207_145839.416/LogFile.txt","","",1
2023-12-07 15:07:51.990 +0530,"Success",0:00:11,0,0,0,"20231207_150751.990/LogFile.txt","","",1
2023-12-07 15:08:21.518 +0530,"Success",0:00:11,0,0,0,"20231207_150821.518/LogFile.txt","","",1
2023-12-07 15:09:54.113 +0530,"Success",0:00:11,0,0,0,"20231207_150954.113/LogFile.txt","","",1
2023-12-07 15:32:07.920 +0530,"Aborted",0:00:38,1,0,1,"20231207_153207.920/LogFile.txt","","",0
2023-12-07 15:32:53.740 +0530,"Failure",0:00:49,1,0,1,"20231207_153253.740/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""basic-UI/home_textImage""",0
2023-12-07 15:36:41.008 +0530,"Aborted",0:01:21,1,0,0,"20231207_153641.008/LogFile.txt","","",0
2023-12-07 15:38:13.307 +0530,"Failure",0:00:32,1,0,1,"20231207_153813.307/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""basic-UI/home_textImage""",0
2023-12-07 15:42:33.911 +0530,"Failure",0:00:21,1,0,1,"20231207_154233.911/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: YourDropdown",0
2023-12-07 15:43:19.187 +0530,"Failure",0:00:09,1,0,1,"20231207_154319.187/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: YourDropdown",0
2023-12-07 15:43:49.154 +0530,"Aborted",0:00:19,1,0,0,"20231207_154349.154/LogFile.txt","","",0
2023-12-07 15:44:09.974 +0530,"Success",0:00:09,0,0,0,"20231207_154409.974/LogFile.txt","","",1
2023-12-07 15:51:10.847 +0530,"Failure",0:00:09,1,0,1,"20231207_155110.847/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: About Us",0
2023-12-07 16:25:14.535 +0530,"Success",0:00:11,0,0,0,"20231207_162514.535/LogFile.txt","","",1
2023-12-07 16:25:37.501 +0530,"Success",0:00:11,0,0,0,"20231207_162537.501/LogFile.txt","","",1
2023-12-07 16:27:37.236 +0530,"Success",0:00:12,0,0,0,"20231207_162737.236/LogFile.txt","","",1
2023-12-07 16:43:48.171 +0530,"Aborted",0:00:14,1,0,0,"20231207_164348.171/LogFile.txt","","",0
2023-12-07 16:44:06.063 +0530,"Success",0:00:09,0,0,0,"20231207_164406.063/LogFile.txt","","",1
2023-12-07 16:52:19.885 +0530,"Success",0:00:09,0,0,0,"20231207_165219.885/LogFile.txt","","",1
2023-12-07 17:50:52.892 +0530,"Failure",0:00:10,1,0,0,"20231207_175052.892/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'greettheuser'",0
2023-12-07 17:52:23.358 +0530,"Failure",0:00:09,1,0,0,"20231207_175223.358/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'greettheuser'",0
2023-12-08 11:20:35.790 +0530,"Failure",0:00:10,1,0,0,"20231208_112035.790/LogFile.txt","","BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'handlers_Script'.",0
2023-12-08 17:32:10.700 +0530,"Aborted",0:01:36,1,0,0,"20231208_173210.700/LogFile.txt","","",0
2023-12-08 17:33:50.360 +0530,"Aborted",0:01:38,1,0,0,"20231208_173350.360/LogFile.txt","","",0
2023-12-08 17:35:31.465 +0530,"Success",0:00:13,0,0,0,"20231208_173531.465/LogFile.txt","","",1
2023-12-08 17:41:56.409 +0530,"Success",0:00:09,0,0,0,"20231208_174156.409/LogFile.txt","","",1
2023-12-08 17:42:51.624 +0530,"Failure",0:00:25,1,0,1,"20231208_174251.624/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""basic-UI/launchBrowser""",0
2023-12-08 17:45:04.349 +0530,"Success",0:00:10,0,0,0,"20231208_174504.349/LogFile.txt","","",1
2023-12-08 17:47:36.164 +0530,"Success",0:00:09,0,0,0,"20231208_174736.164/LogFile.txt","","",1
2023-12-08 23:51:38.174 +0530,"Success",0:00:10,0,0,0,"20231208_235138.174/LogFile.txt","","",1
2023-12-08 23:52:46.048 +0530,"Success",0:00:09,0,0,0,"20231208_235246.048/LogFile.txt","","",1
