Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-12-07 17:22:27.574 +0530,"Success",0:00:00,0,0,0,"20231207_172227.574/LogFile.txt","","",1
2023-12-07 17:47:11.133 +0530,"Success",0:00:00,0,0,0,"20231207_174711.133/LogFile.txt","","",1
2023-12-07 17:48:04.257 +0530,"Success",0:00:00,0,0,0,"20231207_174804.257/LogFile.txt","","",1
2023-12-07 17:48:23.493 +0530,"Success",0:00:00,0,0,0,"20231207_174823.493/LogFile.txt","","",1
2023-12-07 17:48:24.933 +0530,"Success",0:00:00,0,0,0,"20231207_174824.933/LogFile.txt","","",1
2023-12-07 17:48:26.242 +0530,"Success",0:00:00,0,0,0,"20231207_174826.242/LogFile.txt","","",1
2023-12-07 17:48:39.283 +0530,"Success",0:00:00,0,0,0,"20231207_174839.283/LogFile.txt","","",1
2023-12-07 17:48:40.664 +0530,"Success",0:00:00,0,0,0,"20231207_174840.664/LogFile.txt","","",1
2023-12-07 17:49:50.750 +0530,"Success",0:00:00,0,0,0,"20231207_174950.750/LogFile.txt","","",1
2023-12-07 18:31:05.064 +0530,"Success",0:00:00,0,0,0,"20231207_183105.064/LogFile.txt","","",1
