Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-12-08 18:54:23.056 +0530,"Failure",0:00:23,1,0,1,"20231208_185423.056/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Login/loginButton""",0
2023-12-08 18:58:26.721 +0530,"Failure",0:00:24,1,0,1,"20231208_185826.721/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Login/emailField""",0
2023-12-08 18:59:24.569 +0530,"Aborted",0:00:07,1,0,0,"20231208_185924.569/LogFile.txt","","",0
2023-12-08 19:01:33.119 +0530,"Failure",0:00:35,1,0,1,"20231208_190133.119/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Login/passwordField""",0
2023-12-08 19:04:20.371 +0530,"Failure",0:00:36,1,0,1,"20231208_190420.371/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Login/clickOnAlredyEmail""",0
2023-12-08 19:05:03.141 +0530,"Failure",0:00:36,1,0,1,"20231208_190503.141/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Login/clickOnAlredyEmail""",0
2023-12-08 23:50:26.715 +0530,"Failure",0:00:31,1,0,1,"20231208_235026.715/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Login/loginButton""",0
2023-12-08 23:52:02.888 +0530,"Failure",0:00:36,1,0,1,"20231208_235202.888/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Login/clickOnAlredyEmail""",0
2023-12-08 23:53:55.255 +0530,"Failure",0:00:34,1,0,1,"20231208_235355.255/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Login/clickOnAlredyEmail""",0
2023-12-08 23:54:44.040 +0530,"Aborted",0:00:20,1,0,1,"20231208_235444.040/LogFile.txt","","",0
2023-12-08 23:55:05.514 +0530,"Aborted",0:00:28,1,0,1,"20231208_235505.514/LogFile.txt","","",0
2023-12-08 23:55:36.015 +0530,"Aborted",0:00:25,1,0,1,"20231208_235536.015/LogFile.txt","","",0
2023-12-11 16:49:19.845 +0530,"Failure",0:00:30,1,0,1,"20231211_164919.845/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Login/loginButton""",0
2023-12-11 17:03:21.097 +0530,"Aborted",0:00:21,1,0,1,"20231211_170321.097/LogFile.txt","","",0
2023-12-11 17:03:44.535 +0530,"Failure",0:00:39,1,0,1,"20231211_170344.535/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Login/emailField""",0
2023-12-11 17:04:55.113 +0530,"Aborted",0:01:41,1,0,1,"20231211_170455.113/LogFile.txt","","",0
2023-12-11 17:06:40.481 +0530,"Aborted",0:01:00,1,0,1,"20231211_170640.481/LogFile.txt","","",0
