Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-12-11 19:24:54.773 +0530,"Success",0:00:18,0,0,0,"20231211_192454.773/LogFile.txt","","",1
2023-12-11 19:26:57.525 +0530,"Aborted",0:00:13,1,0,1,"20231211_192657.525/LogFile.txt","","",0
2023-12-11 19:27:13.871 +0530,"Success",0:00:09,0,0,0,"20231211_192713.871/LogFile.txt","","",1
2023-12-11 19:28:37.659 +0530,"Aborted",0:00:23,1,0,1,"20231211_192837.659/LogFile.txt","","",0
2023-12-11 19:29:02.498 +0530,"Failure",0:00:08,1,0,1,"20231211_192902.498/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2023-12-11 19:29:53.749 +0530,"Failure",0:00:12,1,0,1,"20231211_192953.749/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2023-12-11 22:00:21.946 +0530,"Aborted",0:04:09,1,0,1,"20231211_220021.946/LogFile.txt","","",0
2023-12-11 22:08:43.343 +0530,"Failure",0:00:12,1,0,1,"20231211_220843.343/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2023-12-11 22:10:01.237 +0530,"Aborted",0:00:17,1,0,1,"20231211_221001.237/LogFile.txt","","",0
2023-12-11 22:10:19.647 +0530,"Failure",0:00:12,1,0,1,"20231211_221019.647/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2023-12-11 22:12:11.517 +0530,"Failure",0:00:12,1,0,1,"20231211_221211.517/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2023-12-11 22:15:11.373 +0530,"Failure",0:00:34,1,0,1,"20231211_221511.373/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""signUp/yourEmailInputFiled""",0
2023-12-11 22:24:09.146 +0530,"Aborted",0:03:40,1,0,1,"20231211_222409.146/LogFile.txt","","",0
2023-12-11 22:27:57.558 +0530,"Success",0:00:11,0,0,0,"20231211_222757.558/LogFile.txt","","",1
2023-12-11 22:31:14.005 +0530,"Success",0:00:12,0,0,0,"20231211_223114.005/LogFile.txt","","",1
2023-12-11 22:32:31.219 +0530,"Failure",0:00:36,1,0,1,"20231211_223231.219/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""signUp/yourEmailInputFiled""",0
2023-12-11 22:33:19.424 +0530,"Success",0:00:13,0,0,0,"20231211_223319.424/LogFile.txt","","",1
2023-12-11 22:34:30.925 +0530,"Success",0:00:14,0,0,0,"20231211_223430.925/LogFile.txt","","",1
2023-12-11 22:35:53.082 +0530,"Success",0:00:07,0,0,0,"20231211_223553.082/LogFile.txt","","",1
